No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
0,39200.0,52.5
0,39200.0,52.5
0,39200.0,52.5
0,39200.0,52.5
0,39200.0,52.5
0,39200.0,52.5
0,39200.0,52.5
0,39200.0,52.5
0,39200.0,52.5
0,39200.0,52.5
0,27440.0,85.0
0,125440.0,87.5
0,54880.0,52.5
0,98000.0,175.0
0,54880.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,125440.0,177.5
0,125440.0,122.5
0,125440.0,52.5
0,125440.0,52.5
0,76440.0,147.5
0,70560.0,140.0
0,125440.0,52.5
0,125440.0,52.5
0,84280.0,150.0
0,70560.0,140.0
0,125440.0,52.5
0,125440.0,52.5
0,45080.0,107.5
0,70560.0,140.0
0,35280.0,95.0
0,45080.0,107.5
0,70560.0,140.0
0,35280.0,95.0
0,68600.0,137.5
0,68600.0,137.5
0,66640.0,135.0
0,66640.0,135.0
0,92120.0,167.5
0,92120.0,167.5
0,47040.0,110.0
0,47040.0,110.0
0,58800.0,125.0
0,58800.0,125.0
0,86240.0,160.0
0,60760.0,52.5
0,90160.0,162.5
0,60760.0,52.5
0,64680.0,132.5
0,41160.0,102.5
0,64680.0,132.5
0,41160.0,102.5
0,82320.0,155.0
0,80360.0,152.5
0,52920.0,117.5
0,54880.0,120.0
0,27440.0,85.0
0,25480.0,82.5
0,21560.0,77.5
0,41160.0,102.5
0,33320.0,92.5
0,90160.0,165.0
0,88200.0,162.5
0,15680.0,70.0
0,15680.0,70.0
0,7840.0,60.0
0,7840.0,60.0
0,9800.0,62.5
0,7840.0,60.0
0,5880.0,57.5
0,5880.0,57.5
0,3920.0,55.0
0,5880.0,57.5
0,1960.0,52.5
0,3920.0,55.0
0,3920.0,55.0
