timestamp, hostName, cpuDemand, cpuUsage, cpuUtilization, cpuIdleTime, energyUsage
60, host-0, 125440.0, 125440.0, 0.585, 0.8, 1406, 52.5
60, host-1, 125440.0, 125440.0, 0.583, 0.8, 1451, 127.5
60, host-2, 125440.0, 125440.0, 0.593, 0.8, 1432, 207.5
60, host-3, 125440.0, 125440.0, 0.585, 0.8, 1406, 52.5
120, host-0, 125440.0, 125440.0, 0.79, 0.8, 833, 52.5
120, host-1, 84280.0, 84280.0, 0.792, 0.5375, 831, 157.5
120, host-2, 125440.0, 125440.0, 0.79, 0.8, 833, 207.5
120, host-3, 125440.0, 125440.0, 0.79, 0.8, 833, 52.5
180, host-0, 125440.0, 125440.0, 0.793, 0.8, 464, 52.5
180, host-1, 125440.0, 125440.0, 0.79, 0.8, 471, 160.0
180, host-2, 125440.0, 125440.0, 0.793, 0.8, 464, 207.5
180, host-3, 125440.0, 125440.0, 0.793, 0.8, 464, 52.5
240, host-0, 125440.0, 125440.0, 0.794, 0.8, 952, 205.0
240, host-1, 125440.0, 125440.0, 0.794, 0.8, 963, 160.0
240, host-2, 125440.0, 125440.0, 0.794, 0.8, 974, 207.5
240, host-3, 125440.0, 125440.0, 0.794, 0.8, 974, 52.5
300, host-0, 125440.0, 125440.0, 0.794, 0.8, 974, 205.0
300, host-1, 125440.0, 125440.0, 0.794, 0.8, 715, 157.5
300, host-2, 3920.0, 3920.0, 0.797, 0.025, 943, 55.0
300, host-3, 125440.0, 125440.0, 0.794, 0.8, 975, 52.5
360, host-0, 125440.0, 125440.0, 0.794, 0.8, 488, 205.0
360, host-1, 125440.0, 125440.0, 0.793, 0.8, 632, 205.0
360, host-2, 125440.0, 125440.0, 0.79, 0.8, 537, 210.0
360, host-3, 125440.0, 125440.0, 0.794, 0.8, 487, 52.5
420, host-0, 125440.0, 125440.0, 0.796, 0.8, 579, 190.0
420, host-1, 125440.0, 125440.0, 0.792, 0.8, 706, 205.0
420, host-2, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
420, host-3, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
480, host-0, 125440.0, 125440.0, 0.799, 0.8, 544, 210.0
480, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
480, host-2, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
480, host-3, 96040.0, 96040.0, 0.796, 0.6125, 1227, 172.5
540, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
540, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
540, host-2, 125440.0, 125440.0, 0.767, 0.8, 717, 202.5
540, host-3, 70560.0, 70560.0, 0.8, 0.45, 392, 140.0
600, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
600, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
600, host-2, 96040.0, 96040.0, 0.785, 0.6125, 215, 172.5
600, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
660, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
660, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
660, host-2, 94080.0, 94080.0, 0.8, 0.6, 4, 170.0
660, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
720, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
720, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
720, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
720, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
780, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
780, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
780, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
780, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
840, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
840, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
840, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
840, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
900, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
900, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
900, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
900, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
960, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
960, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
960, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
960, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1020, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1020, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
1020, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
1020, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1080, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1080, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
1080, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
1080, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1140, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1140, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
1140, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
1140, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1200, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1200, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
1200, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
1200, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1260, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1260, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
1260, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
1260, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1320, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1320, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
